udi,product_id,product_type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,failure_type,source_dataset,twf,hdf,pwf,osf,rnf,failure_family,temp_delta_k,power_proxy,wear_power_ratio,torque_speed_ratio,thermal_load,wear_temp_stress,high_torque_flag,low_speed_flag,wear_risk_band
346,L47525,L,297.5,308.3,1585,32.9,32,0,No Failure,merged,0,0,0,0,0,No Failure,10.800000000000011,52146.5,0.0006136439906035764,0.020744010088272383,355.32000000000033,345.60000000000036,0,0,fresh
762,L47941,L,296.7,307.8,1646,34.6,238,0,No Failure,merged,0,0,0,0,0,No Failure,11.100000000000023,56951.600000000006,0.004178913693141314,0.02100789313904068,384.0600000000008,2641.8000000000056,0,0,critical
3155,L50334,L,300.4,309.7,1534,42.5,127,0,No Failure,merged,0,0,0,0,0,No Failure,9.300000000000011,65195.0,0.0019479722682373152,0.02768729641693811,395.25000000000045,1181.1000000000015,0,0,elevated
8220,L55399,L,299.0,310.4,1504,34.3,48,0,No Failure,merged,0,0,0,0,0,No Failure,11.399999999999977,51587.2,0.0009304453343981764,0.022790697674418603,391.0199999999992,547.1999999999989,0,0,fresh
7624,L54803,L,300.6,311.7,1734,29.9,72,0,No Failure,merged,0,0,0,0,0,No Failure,11.099999999999966,51846.6,0.0013886853007660915,0.01723342939481268,331.88999999999896,799.1999999999975,0,0,moderate
5587,M20446,M,302.4,311.8,1557,31.5,49,0,No Failure,merged,0,0,0,0,0,No Failure,9.400000000000034,49045.5,0.000999051920116624,0.020218228498074454,296.10000000000105,460.60000000000167,0,0,fresh
2683,M17542,M,299.9,309.6,1364,44.4,20,0,No Failure,merged,0,0,0,0,0,No Failure,9.700000000000045,60561.6,0.0003302368128184721,0.032527472527472526,430.680000000002,194.0000000000009,0,1,fresh
4277,M19136,M,302.2,310.4,1456,47.5,167,0,No Failure,merged,0,0,0,0,0,No Failure,8.199999999999989,69160.0,0.00241465565853588,0.03260123541523679,389.49999999999943,1369.399999999998,0,0,elevated
4732,L51911,L,303.3,311.6,1301,45.1,219,1,Heat Dissipation Failure,merged,0,1,0,0,0,Heat Dissipation Failure,8.300000000000011,58675.1,0.0037323543998323,0.03463901689708142,374.33000000000055,1817.7000000000025,0,1,critical
7187,M22046,M,300.4,310.5,1644,31.4,41,0,No Failure,merged,0,0,0,0,0,No Failure,10.100000000000023,51621.6,0.0007942257848306749,0.019088145896656535,317.1400000000007,414.10000000000093,0,0,fresh
1058,L48237,L,296.8,307.8,1573,36.4,126,0,No Failure,merged,0,0,0,0,0,No Failure,11.0,57257.2,0.002200558173327139,0.023125794155019058,400.4,1386.0,0,0,elevated
2307,L49486,L,299.1,308.6,1260,57.8,152,0,No Failure,merged,0,0,0,0,0,No Failure,9.5,72828.0,0.0020870806958766426,0.045836637589214906,549.1,1444.0,1,1,elevated
2450,L49629,L,299.3,308.8,1772,25.2,89,0,No Failure,merged,0,0,0,0,0,No Failure,9.5,44654.4,0.0019930400354716336,0.014213197969543147,239.4,845.5,0,0,moderate
5525,L52704,L,302.6,311.9,1633,30.9,89,0,No Failure,merged,0,0,0,0,0,No Failure,9.299999999999955,50459.7,0.0017637488183873788,0.01891064871481028,287.3699999999986,827.699999999996,0,0,moderate
2793,L49972,L,300.4,309.7,1584,32.6,71,0,No Failure,merged,0,0,0,0,0,No Failure,9.300000000000011,51638.4,0.0013749191508809165,0.02056782334384858,303.1800000000004,660.3000000000009,0,0,moderate
6697,L53876,L,301.7,310.9,1636,31.3,42,0,No Failure,merged,0,0,0,0,0,No Failure,9.199999999999989,51206.8,0.0008201875495529977,0.019120342089187538,287.95999999999964,386.3999999999995,0,0,fresh
4323,M19182,M,301.7,310.1,1431,44.0,61,0,No Failure,merged,0,0,0,0,0,No Failure,8.400000000000034,62964.0,0.0009687921861351545,0.030726256983240222,369.6000000000015,512.4000000000021,0,0,moderate
754,L47933,L,296.8,308.0,1536,40.4,217,0,No Failure,merged,0,0,0,0,0,No Failure,11.199999999999989,62054.399999999994,0.0034968753726508897,0.026284970722186076,452.4799999999995,2430.3999999999974,0,0,critical
6434,L53613,L,300.3,309.9,1570,34.0,31,0,No Failure,merged,0,0,0,0,0,No Failure,9.599999999999966,53380.0,0.0005807309716940485,0.021642266072565246,326.39999999999884,297.59999999999894,0,0,fresh
1288,L48467,L,298.5,309.6,1419,41.5,105,0,No Failure,merged,0,0,0,0,0,No Failure,11.100000000000023,58888.5,0.001783000365090551,0.029225352112676056,460.65000000000094,1165.5000000000023,0,0,moderate
989,H30402,H,296.3,307.1,1774,25.9,154,0,No Failure,merged,0,0,0,0,0,No Failure,10.800000000000011,45946.6,0.003351644046696672,0.014591549295774647,279.72000000000025,1663.2000000000016,0,0,elevated
2342,L49521,L,299.1,308.2,1409,46.4,12,0,No Failure,merged,0,0,0,0,0,No Failure,9.099999999999966,65377.6,0.0001835462980241241,0.032907801418439714,422.2399999999984,109.19999999999959,0,0,fresh
50,M14909,M,298.9,309.2,1412,44.1,140,0,No Failure,merged,0,0,0,0,0,No Failure,10.300000000000011,62269.200000000004,0.0022482664259950986,0.031210191082802548,454.23000000000053,1442.0000000000016,0,0,elevated
5452,L52631,L,303.0,312.7,1361,48.8,120,0,No Failure,merged,0,0,0,0,0,No Failure,9.699999999999989,66416.8,0.0018067445775078366,0.03582966226138032,473.35999999999945,1163.9999999999986,0,1,moderate
5723,L52902,L,302.2,311.7,1488,44.6,178,0,No Failure,merged,0,0,0,0,0,No Failure,9.5,66364.8,0.0026821043368723046,0.029952988582941573,423.7,1691.0,0,0,elevated
4055,M18914,M,301.9,310.9,1456,43.6,45,0,No Failure,merged,0,0,0,0,0,No Failure,9.0,63481.6,0.0007088556549353681,0.029924502402196296,392.40000000000003,405.0,0,0,fresh
3611,M18470,M,301.7,310.8,1594,32.4,204,0,No Failure,merged,0,0,0,0,0,No Failure,9.100000000000023,51645.6,0.003949921195199684,0.02031347962382445,294.8400000000007,1856.4000000000046,0,0,critical
5623,L52802,L,302.9,312.2,1571,40.6,139,0,No Failure,merged,0,0,0,0,0,No Failure,9.300000000000011,63782.600000000006,0.0021792435673119734,0.02582697201017812,377.5800000000005,1292.7000000000016,0,0,elevated
3721,M18580,M,302.4,311.4,1508,41.2,60,0,No Failure,merged,0,0,0,0,0,No Failure,9.0,62129.600000000006,0.0009657077189017971,0.02730284956925116,370.8,540.0,0,0,moderate
4729,L51908,L,303.4,311.7,1406,47.1,213,0,No Failure,merged,0,0,0,0,0,No Failure,8.300000000000011,66222.6,0.00321637603512947,0.03347547974413646,390.9300000000006,1767.9000000000024,0,0,critical
2059,M16918,M,299.5,309.3,1902,24.0,151,0,No Failure,merged,0,0,0,0,0,No Failure,9.800000000000011,45648.0,0.0033078490218843787,0.012611665790856543,235.20000000000027,1479.8000000000018,0,0,elevated
527,L47706,L,297.6,309.5,1373,50.6,55,0,No Failure,merged,0,0,0,0,0,No Failure,11.899999999999977,69473.8,0.0007916539522244036,0.036826783114992725,602.1399999999988,654.4999999999987,0,1,moderate
7633,L54812,L,300.5,311.6,1744,26.8,94,0,No Failure,merged,0,0,0,0,0,No Failure,11.100000000000023,46739.200000000004,0.0020111167688627776,0.015358166189111748,297.48000000000064,1043.4000000000021,0,0,moderate
1598,L48777,L,297.9,308.1,1531,40.8,2,0,No Failure,merged,0,0,0,0,0,No Failure,10.200000000000045,62464.799999999996,3.201751998693685e-05,0.026631853785900782,416.16000000000184,20.40000000000009,0,0,fresh
1609,L48788,L,297.8,307.7,1393,38.0,29,0,No Failure,merged,0,0,0,0,0,No Failure,9.899999999999977,52934.0,0.0005478416926419194,0.027259684361549498,376.19999999999914,287.09999999999934,0,1,fresh
8937,L56116,L,297.4,308.3,1465,42.0,13,0,No Failure,merged,0,0,0,0,0,No Failure,10.900000000000034,61530.0,0.0002112756171685817,0.0286493860845839,457.80000000000143,141.70000000000044,0,0,fresh
4221,M19080,M,301.9,310.6,1260,65.9,29,0,No Failure,merged,0,0,0,0,0,No Failure,8.700000000000045,83034.0,0.0003492503161317517,0.05226011102299762,573.330000000003,252.30000000000132,1,1,fresh
6992,L54171,L,300.8,311.1,1509,33.4,172,0,No Failure,merged,0,0,0,0,0,No Failure,10.300000000000011,50400.6,0.0034125900765055077,0.022119205298013245,344.0200000000004,1771.600000000002,0,0,elevated
9129,M23988,M,297.5,308.6,1486,45.9,78,0,No Failure,merged,0,0,0,0,0,No Failure,11.100000000000023,68207.4,0.0011435541663490129,0.030867518493611298,509.49000000000103,865.8000000000018,0,0,moderate
371,M15230,M,297.5,308.3,1622,37.2,103,0,No Failure,merged,0,0,0,0,0,No Failure,10.800000000000011,60338.4,0.0017070106762745404,0.02292051756007394,401.76000000000045,1112.4000000000012,0,0,moderate
69,L47248,L,298.8,308.9,1527,32.4,189,0,No Failure,merged,0,0,0,0,0,No Failure,10.099999999999966,49474.799999999996,0.0038200493978874524,0.021204188481675393,327.2399999999989,1908.8999999999935,0,0,critical
